si_lat,si_lon,uj_lat,uj_lon,Z1,Z2
34.404281,-118.80998,34.43615,-118.78503,11.24,2.733536870967742
34.427775,-119.691218,34.46239,-119.73959,26.61290322580645,3.1888810967741934
34.44551,-119.8284,34.43553,-119.86666,17.967741935483872,3.308704
34.44806,-119.2313,34.46341,-119.19858,29.516129032258064,2.1942322903225806
34.469441,-93.000178,34.45132,-92.9973,25.166666666666668,7.527221935483872
34.510961,-117.32554,34.49879,-117.31988,26.016129032258064,5.54157
34.518515,-91.55896,34.49749,-91.54884,28.8,7.192226451612903
34.530717,-86.967536,34.49804,-86.93687,25.625,6.05299006451613
34.583699,-94.226234,34.59602,-94.17342,25.6,6.477047741935484
34.615367,-80.198787,34.64663,-80.13243,20.77777777777778,6.215583870967742
34.63298,-98.42879,34.62357,-98.38076,29.870967741935484,8.134806774193548
34.63782,-120.4575,34.64047,-120.47444,14.03225806451613,2.9621743870967743
34.669739,-118.130511,34.66803,-118.17721,18.29032258064516,3.511833258064516
34.681343,-92.328697,34.64165,-92.32871,32.8,7.749577741935484
34.68547,-86.58816,34.68883,-86.64618,24.33333333333333,7.655669677419355
34.751848,-82.256701,34.73313,-82.25205,22.785714285714285,8.984824838709677
34.756189,-92.281296,34.74973,-92.32195,31.848484848484848,9.750269677419354
34.762619,-87.638097,34.7823,-87.69357,23.444444444444443,5.98519135483871
34.805261,-83.2377,34.74481,-83.1832,12.347826086956522,4.416958387096774
34.82056,-89.98778,34.84,-89.93745,29.870967741935484,7.535181612903226
34.843895,-82.414585,34.85738,-82.36092,28.311475409836067,9.276366129032258
34.885608,-95.78441,34.84156,-95.7471,26.30555555555556,6.704569677419355
34.9127,-80.8745,34.87027,-80.88608,28.61290322580645,7.27764
34.942872,-120.435611,34.98205,-120.44795,17.161290322580644,3.436321419354839
34.955566,-81.924797,34.91137,-81.94886,28.545454545454547,8.915054193548388
34.9788,-85.3009,34.98743,-85.27322,33.78048780487805,7.300605806451613
34.99438,-85.24293,34.98743,-85.27322,27.9,7.300605806451613
35.01708,-106.65739,34.97514,-106.59629,35.35087719298246,7.146906129032258
35.02083,-120.56388,35.05899,-120.60959,28.967741935483872,3.745062774193548
35.041416,-78.953112,35.01264,-78.97112,29.894736842105264,7.993159354838709
35.04673,-120.58777,35.05899,-120.60959,15.870967741935484,3.745062774193548
35.050551,-118.147294,35.00896,-118.14017,11.548387096774194,1.8558586129032255
35.050918,-85.293019,35.09479,-85.25619,28.94117647058824,6.694359032258064
35.115968,-87.469954,35.09415,-87.52135,18.0,5.025014741935483
35.116878,-87.419725,35.0828,-87.38976,21.352941176470587,5.253841129032258
35.1343,-106.5852,35.0828,-106.61024,24.59016393442623,12.38105677419355
35.1443,-106.60468,35.19047,-106.62422,27.741935483870968,9.171316774193548
35.151194,-90.041559,35.17215,-90.03867,30.1,7.795040967741936
35.151283,-80.866983,35.18994,-80.81596,31.193548387096776,8.110453548387097
35.151699,-89.850249,35.16379,-89.9066,27.066666666666663,8.712047419354839
35.16126,-89.87065,35.16379,-89.9066,33.325,8.712047419354839
35.1852,-106.50815,35.20184,-106.49245,18.29032258064516,4.735092580645161
35.186278,-94.786643,35.15195,-94.81467,20.9,6.370768064516129
35.19324,-106.613815,35.19047,-106.62422,39.25806451612903,9.171316774193548
35.197288,-90.193141,35.18036,-90.17076,30.2,7.283013870967742
35.201592,-101.909275,35.17065,-101.96989,11.275862068965518,4.350206774193548
35.213171,-80.874084,35.18994,-80.81596,33.696969696969695,8.110453548387097
35.2401,-80.785683,35.29652,-80.79246,28.19047619047619,7.352582903225806
35.25651,-120.6693,35.26826,-120.67773,13.74074074074074,3.52795335483871
35.263165,-79.836636,35.26467,-79.85522,28.29032258064516,5.852126129032258
